# %ECSV 0.9
# ---
# delimiter: ","
# datatype:
# - {name: Wavelength, unit: micron, datatype: float64}
# - {name: y, unit: micron, datatype: float64}
# - {name: x, unit: micron, datatype: float64}
Wavelength,y,x
2.25555,0.0,311.4
2.25694,0.0,311.9
2.25832,0.0,312.4
2.25971,0.0,312.9
2.26109,0.0,313.4
2.26247,0.0,313.9
2.26386,0.0,314.4
2.26524,0.0,314.9
2.26663,0.0,315.4
2.26801,0.0,315.9
2.26940,0.0,316.3
2.27078,0.0,316.8
2.27217,0.0,317.3
2.27355,0.0,317.8
2.27493,0.0,318.3
2.27632,0.0,318.8
2.27770,0.0,319.3
2.27909,0.0,319.8
2.28047,0.0,320.3
2.28186,0.0,320.8
2.28324,0.0,321.3
2.28462,0.0,321.8
2.28601,0.0,322.3
2.28739,0.0,322.8
2.28878,0.0,323.3
2.29016,0.0,323.8
2.29155,0.0,324.3
2.29293,0.0,324.8
2.29432,0.0,325.3
2.29570,0.0,325.8
2.29708,0.0,326.3
2.29847,0.0,326.8
2.29985,0.0,327.3
2.30124,0.0,327.8
2.30262,0.0,328.2
2.30401,0.0,328.7
2.30539,0.0,329.2
2.30677,0.0,329.7
2.30816,0.0,330.2
2.30954,0.0,330.7
2.31093,0.0,331.2
2.31231,0.0,331.7
2.31370,0.0,332.2
2.31508,0.0,332.7
2.31647,0.0,333.2
2.31785,0.0,333.7
2.31923,0.0,334.1
2.32062,0.0,334.6
2.32200,0.0,335.1
2.32339,0.0,335.6
2.32477,0.0,336.1
2.32616,0.0,336.6
2.32754,0.0,337.1
2.32892,0.0,337.6
2.33031,0.0,338.1
2.33169,0.0,338.5
2.33308,0.0,339.0
